,Date,Gold_YF,DXY,TNX,VIX,CrdOil,Cu,Ag,NatGas,Corn,Soya,Cattle,Coco,Coffee,Cotton,VIX_PCE
0,2000-08-30,273.8999938964844,112.13999938964844,5.800000190734863,17.690000534057617,33.400001525878906,0.8849999904632568,4.929999828338623,4.804999828338623,181.5,,,760.0,73.9000015258789,64.75,-0.24465429264200309
1,2000-08-31,278.29998779296875,112.5999984741211,5.729000091552734,16.84000015258789,33.099998474121094,0.8849999904632568,5.002999782562256,4.78000020980835,182.0,,,745.0,74.5,63.369998931884766,-0.34558768470126666
2,2000-09-01,277.0,111.41999816894531,5.675000190734863,17.530000686645508,33.380001068115234,0.8889999985694885,5.004000186920166,4.835000038146973,183.25,,,757.0,75.0,63.4900016784668,-0.2636534927368844
3,2000-09-05,275.79998779296875,112.41000366210938,5.683000087738037,19.81999969482422,33.79999923706055,0.906000018119812,4.998000144958496,4.960000038146973,183.5,,,775.0,73.0999984741211,64.54000091552734,0.00827270017631099
4,2000-09-06,274.20001220703125,114.12000274658203,5.711999893188477,20.790000915527344,34.95000076293945,0.9014999866485596,4.982999801635742,5.065000057220459,186.25,,,780.0,75.25,64.36000061035156,0.12345560555090081
5,2000-09-07,274.0,113.6500015258789,5.749000072479248,19.420000076293945,35.33000183105469,0.906000018119812,4.934999942779541,4.998000144958496,181.0,,,761.0,78.0,64.13999938964844,-0.039225300060892296
6,2000-09-08,273.29998779296875,114.33999633789062,5.723999977111816,18.459999084472656,33.70000076293945,0.9120000004768372,4.922999858856201,4.880000114440918,181.75,,,778.0,77.4000015258789,64.72000122070312,-0.1532207271185107
7,2000-09-11,273.1000061035156,115.37000274658203,5.757999897003174,18.399999618530273,35.099998474121094,0.9129999876022339,4.885000228881836,5.014999866485596,184.25,,,767.0,77.75,64.5999984741211,-0.16034537053200856
8,2000-09-12,272.8999938964844,115.16999816894531,5.769999980926514,18.59000015258789,34.20000076293945,0.9284999966621399,4.908999919891357,5.005000114440918,186.0,,,778.0,78.6500015258789,63.18000030517578,-0.13778373548621306
9,2000-09-13,272.79998779296875,115.33999633789062,5.728000164031982,18.31999969482422,33.79999923706055,0.9275000095367432,4.892000198364258,5.054999828338623,182.5,,,798.0,79.55000305175781,62.470001220703125,-0.16984497057944922
10,2000-09-14,272.3999938964844,115.16000366210938,5.77400016784668,18.260000228881836,34.099998474121094,0.9254999756813049,4.888000011444092,5.195000171661377,181.0,,,775.0,77.19999694824219,62.95000076293945,-0.17696961399294708
11,2000-09-15,272.29998779296875,115.94000244140625,5.833000183105469,18.520000457763672,35.849998474121094,0.9200000166893005,4.868000030517578,5.204999923706055,,493.75,,814.0,76.25,63.15999984741211,-0.14609585721668233
12,2000-09-18,271.3999938964844,116.0,5.870999813079834,20.25,36.880001068115234,0.9185000061988831,4.875999927520752,5.295000076293945,184.0,484.0,,809.0,77.4000015258789,62.9900016784668,0.05933313536442847
13,2000-09-19,271.8999938964844,116.11000061035156,5.849999904632568,19.540000915527344,36.5,0.921500027179718,4.882999897003174,5.369999885559082,185.0,484.25,,803.0,77.19999694824219,62.650001525878906,-0.024975786745566046
14,2000-09-20,269.0,116.41000366210938,5.892000198364258,19.93000030517578,37.5,0.9014999866485596,4.829999923706055,5.320000171661377,183.5,483.25,,788.0,79.1500015258789,63.13999938964844,0.02133473517466584
15,2000-09-21,270.29998779296875,115.2699966430664,5.870999813079834,20.18000030517578,33.95000076293945,0.9254999756813049,4.872000217437744,5.2870001792907715,183.75,486.5,,803.0,77.80000305175781,63.900001525878906,0.05102101363395921
16,2000-09-22,271.79998779296875,113.55999755859375,5.828999996185303,20.739999771118164,32.650001525878906,0.9194999933242798,4.909999847412109,5.13100004196167,186.25,491.0,,812.0,78.0,63.45000076293945,0.11751821396604381
17,2000-09-25,274.1000061035156,114.05999755859375,5.833000183105469,21.40999984741211,31.56999969482422,0.9269999861717224,4.914999961853027,5.276000022888184,186.25,496.5,,782.0,79.05000305175781,63.880001068115234,0.19707744929648327
18,2000-09-26,273.8999938964844,113.16000366210938,5.798999786376953,21.8799991607666,31.5,0.9164999723434448,4.931000232696533,5.360000133514404,190.0,496.5,,792.0,81.75,63.54999923706055,0.2528875712641558
19,2000-09-27,278.3999938964844,113.11000061035156,5.820000171661377,21.670000076293945,31.5,0.9125000238418579,4.9679999351501465,5.329999923706055,190.5,492.5,,783.0,78.94999694824219,62.5,0.22795120607274802
20,2000-09-28,275.6000061035156,113.30999755859375,5.811999797821045,19.469999313354492,30.299999237060547,0.9110000133514404,4.953000068664551,5.139999866485596,190.5,497.0,,794.0,79.8499984741211,62.459999084472656,-0.033288134964365834
21,2000-09-29,273.6000061035156,113.25,5.7779998779296875,20.56999969482422,30.860000610351562,0.9154999852180481,4.89900016784668,5.199999809265137,192.0,499.0,,797.0,83.0,62.25,0.09733153555419109
22,2000-10-02,273.1000061035156,113.79000091552734,5.820000171661377,21.229999542236328,32.150001525878906,0.8949999809265137,4.906000137329102,5.3520002365112305,192.0,488.5,,789.0,79.3499984741211,63.529998779296875,0.17570329256765915
23,2000-10-03,271.6000061035156,114.22000122070312,5.867000102996826,21.850000381469727,32.06999969482422,0.8985000252723694,4.913000106811523,5.3480000495910645,195.25,488.5,,807.0,79.4000015258789,63.95000076293945,0.24932536280157214
24,2000-10-04,270.29998779296875,114.16999816894531,5.892000198364258,21.540000915527344,31.5,0.8964999914169312,4.874000072479248,5.289999961853027,199.5,489.0,,828.0,79.3499984741211,63.400001525878906,0.2125144409287809
25,2000-10-05,270.6000061035156,114.73999786376953,5.854000091552734,21.030000686645508,30.649999618530273,0.909500002861023,4.888999938964844,5.1519999504089355,200.5,485.75,,835.0,78.69999694824219,63.599998474121094,0.15195440569322277
26,2000-10-06,269.29998779296875,114.8499984741211,5.815999984741211,22.709999084472656,30.850000381469727,0.9045000076293945,4.882999897003174,5.0,199.5,486.0,,830.0,79.44999694824219,64.20999908447266,0.35144600668947656
27,2000-10-09,270.1000061035156,114.80999755859375,5.815999984741211,24.020000457763672,31.8799991607666,0.8924999833106995,4.885000228881836,5.150000095367432,199.5,484.5,,816.0,79.94999694824219,64.77999877929688,0.5070022688877718
28,2000-10-10,272.3999938964844,114.36000061035156,5.795000076293945,24.860000610351562,33.150001525878906,0.9024999737739563,4.918000221252441,5.133999824523926,197.5,483.0,,833.0,80.75,64.56999969482422,0.606748182630064
29,2000-10-11,270.5,114.48999786376953,5.769999980926514,26.56999969482422,33.150001525878906,0.8985000252723694,4.869999885559082,5.585000038146973,199.75,485.0,,827.0,83.1500015258789,63.849998474121094,0.809802218577232
30,2000-10-12,276.3999938964844,114.88999938964844,5.715000152587891,30.510000228881836,36.099998474121094,0.8794999718666077,4.922999858856201,5.625,200.5,478.0,,819.0,81.30000305175781,64.36000061035156,1.277658030512428
31,2000-10-13,272.3999938964844,115.86000061035156,5.715000152587891,27.600000381469727,35.04999923706055,0.8895000219345093,4.882999897003174,5.534999847412109,204.0,473.25,,813.0,81.05000305175781,63.119998931884766,0.9321097673653197
